Regiao,Pais,Grupo,Site,BOF,Capacity,Lancas,Carros,Bico_id,Tipo,Vida,d1,d2,d3,d4,d5,d6,Convertedor,Carro,Operador,Data
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,2,Slagless 4 Furos,1,47.00,47.00,47.00,47.00,0,47.001,1,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,1,Slagless 4 Furos,2,47.00,47.00,47.00,47.00,0,47.002,2,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,1,Slagless 4 Furos,3,47.00,47.00,47.00,47.00,0,47.003,2,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,2,Slagless 4 Furos,4,47.00,47.00,47.00,47.00,0,47.004,1,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga2,4-5,166,1-10,Leste/Oeste,4,Slagless 6 Furos,5,47.00,47.00,47.00,47.00,0,47.005,4,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga2,4-5,166,1-10,Leste/Oeste,4,Slagless 6 Furos,6,47.00,47.00,47.00,47.00,0,47.006,4,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,4-5,75,1-13,Leste/Oeste,4,Slagless 4 Furos,7,47.00,47.00,47.00,47.00,0,47.007,4,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,2,Slagless 4 Furos,8,47.00,47.00,47.00,47.00,0,47.008,1,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,2,Slagless 4 Furos,9,47.00,47.00,47.00,47.00,0,47.009,1,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,1,Slagless 4 Furos,10,47.00,47.00,47.00,47.00,0,47.010,2,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,1,Slagless 4 Furos,11,47.00,47.00,47.00,47.00,0,47.011,2,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,2,Slagless 4 Furos,12,47.00,47.00,47.00,47.00,0,47.012,1,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga2,4-5,166,1-10,Leste/Oeste,4,Slagless 6 Furos,13,47.00,47.00,47.00,47.00,0,47.013,4,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga2,4-5,166,1-10,Leste/Oeste,4,Slagless 6 Furos,14,47.00,47.00,47.00,47.00,0,47.014,4,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,4-5,75,1-13,Leste/Oeste,4,Slagless 4 Furos,15,47.00,47.00,47.00,47.00,0,47.015,4,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-4,75,1-13,Leste/Oeste,2,Slagless 4 Furos,16,47.00,47.00,47.00,47.00,0,47.016,1,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,2,Slagless 4 Furos,17,47.00,47.00,47.00,47.00,0,47.017,1,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,1,Slagless 4 Furos,18,47.00,47.00,47.00,47.00,0,47.018,2,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,1,Slagless 4 Furos,19,47.00,47.00,47.00,47.00,0,47.019,2,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga1,1-3,75,1-13,Leste/Oeste,2,Slagless 4 Furos,20,47.00,47.00,47.00,47.00,0,47.020,1,Leste,Caio,21-07-2022
AMERICA DO SUL,BRASIL,Usiminas,Ipatinga2,4-5,166,1-10,Leste/Oeste,4,Slagless 6 Furos,21,47.00,47.00,47.00,47.00,0,47.021,4,Leste,Caio,21-07-2022
